epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
18,11874,,,,,,0.4334000051021576,2.2359797954559326
18,11874,,,0.5518749952316284,,1.560909628868103,,
19,11899,,,,0.53125,,,
19,11949,,,,0.609375,,,
19,11999,,,,0.59375,,,
19,12049,,,,0.546875,,,
19,12099,,,,0.578125,,,
19,12149,,,,0.484375,,,
19,12199,,,,0.5,,,
19,12249,,,,0.578125,,,
19,12299,,,,0.625,,,
19,12349,,,,0.5625,,,
19,12399,,,,0.546875,,,
19,12449,,,,0.65625,,,
19,12499,,,,0.484375,,,
19,12499,,,,,,0.4205999970436096,2.3512864112854004
19,12499,,,0.5655500292778015,,1.5161975622177124,,
20,12549,,,,0.625,,,
20,12599,,,,0.578125,,,
20,12649,,,,0.5,,,
20,12699,,,,0.59375,,,
20,12749,,,,0.65625,,,
20,12799,,,,0.484375,,,
20,12849,,,,0.515625,,,
20,12899,,,,0.5,,,
20,12949,,,,0.453125,,,
20,12999,,,,0.546875,,,
20,13049,,,,0.53125,,,
20,13099,,,,0.578125,,,
20,13124,,,,,,0.42820000648498535,2.2654788494110107
20,13124,,,0.5723749995231628,,1.4783198833465576,,
21,13149,,,,0.65625,,,
21,13199,,,,0.6875,,,
21,13249,,,,0.59375,,,
21,13299,,,,0.625,,,
21,13349,,,,0.640625,,,
21,13399,,,,0.609375,,,
21,13449,,,,0.578125,,,
21,13499,,,,0.625,,,
21,13549,,,,0.671875,,,
21,13599,,,,0.640625,,,
21,13649,,,,0.5,,,
21,13699,,,,0.609375,,,
21,13749,,,,0.546875,,,
21,13749,,,,,,0.42640000581741333,2.2749767303466797
21,13749,,,0.5827249884605408,,1.4371135234832764,,
22,13799,,,,0.546875,,,
22,13849,,,,0.703125,,,
22,13899,,,,0.765625,,,
22,13949,,,,0.640625,,,
22,13999,,,,0.59375,,,
22,14049,,,,0.625,,,
22,14099,,,,0.6875,,,
22,14149,,,,0.609375,,,
22,14199,,,,0.5625,,,
22,14249,,,,0.671875,,,
22,14299,,,,0.625,,,
22,14349,,,,0.5625,,,
22,14374,,,,,,0.43309998512268066,2.272676706314087
22,14374,,,0.5968000292778015,,1.3795864582061768,,
23,14399,,,,0.546875,,,
23,14449,,,,0.578125,,,
23,14499,,,,0.59375,,,
23,14549,,,,0.640625,,,
23,14599,,,,0.5625,,,
23,14649,,,,0.609375,,,
23,14699,,,,0.546875,,,
23,14749,,,,0.671875,,,
23,14799,,,,0.609375,,,
23,14849,,,,0.625,,,
23,14899,,,,0.5,,,
23,14949,,,,0.546875,,,
23,14999,,,,0.546875,,,
23,14999,,,,,,0.4253000020980835,2.3367462158203125
23,14999,,,0.6019250154495239,,1.3507769107818604,,
24,15049,,,,0.609375,,,
24,15099,,,,0.609375,,,
24,15149,,,,0.640625,,,
24,15199,,,,0.59375,,,
24,15249,,,,0.640625,,,
24,15299,,,,0.625,,,
24,15349,,,,0.609375,,,
24,15399,,,,0.671875,,,
24,15449,,,,0.59375,,,
24,15499,,,,0.65625,,,
24,15549,,,,0.671875,,,
24,15599,,,,0.59375,,,
24,15624,,,,,,0.4309999942779541,2.3251490592956543
24,15624,,,0.6124500036239624,,1.3162882328033447,,
25,15649,,,,0.640625,,,
25,15699,,,,0.703125,,,
25,15749,,,,0.65625,,,
25,15799,,,,0.625,,,
25,15849,,,,0.609375,,,
25,15899,,,,0.6875,,,
25,15949,,,,0.65625,,,
25,15999,,,,0.640625,,,
25,16049,,,,0.578125,,,
25,16099,,,,0.625,,,
25,16149,,,,0.65625,,,
25,16199,,,,0.515625,,,
25,16249,,,,0.546875,,,
25,16249,,,,,,0.43619999289512634,2.323207378387451
25,16249,,,0.6222000122070312,,1.2802646160125732,,
26,16299,,,,0.640625,,,
26,16349,,,,0.625,,,
26,16399,,,,0.65625,,,
26,16449,,,,0.578125,,,
26,16499,,,,0.5625,,,
26,16549,,,,0.578125,,,
26,16599,,,,0.625,,,
26,16649,,,,0.609375,,,
26,16699,,,,0.75,,,
26,16749,,,,0.640625,,,
26,16799,,,,0.640625,,,
26,16849,,,,0.53125,,,
26,16874,,,,,,0.43149998784065247,2.3661508560180664
26,16874,,,0.6267499923706055,,1.2643429040908813,,
27,16899,,,,0.625,,,
27,16949,,,,0.65625,,,
27,16999,,,,0.625,,,
27,17049,,,,0.53125,,,
27,17099,,,,0.625,,,
27,17149,,,,0.65625,,,
27,17199,,,,0.65625,,,
27,17249,,,,0.578125,,,
27,17299,,,,0.59375,,,
27,17349,,,,0.53125,,,
27,17399,,,,0.671875,,,
27,17449,,,,0.6875,,,
27,17499,,,,0.609375,,,
27,17499,,,,,,0.4239000082015991,2.413454532623291
27,17499,,,0.635574996471405,,1.2232275009155273,,
28,17549,,,,0.640625,,,
28,17599,,,,0.671875,,,
28,17649,,,,0.578125,,,
28,17699,,,,0.65625,,,
28,17749,,,,0.5625,,,
28,17799,,,,0.71875,,,
28,17849,,,,0.609375,,,
28,17899,,,,0.609375,,,
28,17949,,,,0.75,,,
28,17999,,,,0.59375,,,
28,18049,,,,0.65625,,,
28,18099,,,,0.703125,,,
28,18124,,,,,,0.4262999892234802,2.3921945095062256
28,18124,,,0.6428499817848206,,1.1984050273895264,,
29,18149,,,,0.671875,,,
29,18199,,,,0.796875,,,
29,18249,,,,0.609375,,,
29,18299,,,,0.671875,,,
29,18349,,,,0.6875,,,
29,18399,,,,0.671875,,,
29,18449,,,,0.71875,,,
29,18499,,,,0.6875,,,
29,18549,,,,0.546875,,,
29,18599,,,,0.71875,,,
29,18649,,,,0.546875,,,
29,18699,,,,0.625,,,
29,18749,,,,0.578125,,,
29,18749,,,,,,0.4302000105381012,2.3775100708007812
29,18749,,,0.6513500213623047,,1.1688851118087769,,
30,18750,0.4343000054359436,2.3719844818115234,,,,,
